Aspect,Aspect Index,Key Activity,Key Activity Index,Best Practice,Best Practice Label,Description,,,,,,,,,,,,
Release on Demand,4,Release,13,Decoupled release elements,CDP-Decoupled-release-elements,"This technique identifies specific release elements, each of which can be released independently. Even simple solutions will have multiple release elements, each operating with different release strategies, as Figure 3 illustrates.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Stabilize,14,Cross-team collaboration,CDP-Cross-team-collaboration,"A mindset of cooperation across the Value Stream to identify and solve problems as they arise is crucial. This involves building Agile Release Trains that can operate the solution, as well as develop it.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Stabilize,14,Failover/disaster recovery,CDP-Failover/disaster-recovery,"Failures will occur. It’s vital to develop a failover mechanism to allow service to resume quickly, or even avoid service interruption. Disaster recovery must be planned, architected into the service, and practiced.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Stabilize,14,Continuous security monitoring,CDP-Continuous-security-monitoring,"Security as code and penetration testing focus on preventing known vulnerabilities from getting to production. But it’s also important to test services continuously for newly discovered and reported vulnerabilities and to detect intrusions and attacks on services and infrastructure.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Stabilize,14,Architect for operations,CDP-Architect-for-operations,"Operational needs must be considered. High loads, security attacks, and responding to incidents motivate a range of options from downgrading or removing services to adding capacity. Telemetry and logging capabilities enable organizations to better understand and further tune their architecture to meet actual usage patterns.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Stabilize,14,Monitor non-functional requirements (NFRs),CDP-Monitor-non-functional-requirements-(NFRs),"To avoid service disruptions, system attributes such as reliability, performance, maintainability, scalability, and usability must be continuously monitored.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Measure,15,Application telemetry,CDP-Application-telemetry,"Application telemetry is the primary mechanism used to track and measure data usage against the hypothesis.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Measure,15,Innovation Accounting,CDP-Innovation-Accounting,"Evaluating a hypothesis requires different metrics than those used to measure end-state working solutions. Innovation Accounting focuses on how to measure the intermediate and predictive business outcomes of the hypothesis during initial incremental solution development and evaluation of the Minimum Viable Product (MVP).

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Learn,16,Lean startup thinking,CDP-Lean-startup-thinking,"As MVPs are evaluated, hypothesis are proved or refuted. When hypotheses are refuted, the organization must decide if efforts should continue, should work stop, or should the new Epics with new hypotheses be formed to evaluate different approaches to the same strategy?

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Learn,16,Value stream mapping,CDP-Value-stream-mapping,"An essential tool to improve the flow of value across the pipeline is value stream mapping. This tool provides the visibility needed to identify bottlenecks and problem areas to flow, as well as design a future state and create Enablers to improve the pipeline.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
Release on Demand,4,Learn,16,Relentless improvement,CDP-Relentless-improvement,"The flow of work can always be improved. This mindset is part of the SAFe House of Lean and is crucial to achieving results.

© Scaled Agile, Inc.
Include this copyright notice with the copied content.

Read the FAQs on how to use SAFe content and trademarks here:
https://www.scaledagile.com/about/about-us/permissions-faq/
Explore Training at:
https://www.scaledagile.com/training/calendar/",,,,,,,,,,,,
